section,pages,n_words,fk_grade,words_per_sentence,deontic_index,should_per_1k,identity_first_share,novel_text_share,nearest_prior_doc,nearest_cosine,characteristic_words
Priority Therapeutic Domain 3: Folate Metabolism and One-Carbon Biolog,91-100,2871,19.020359848484848,16.3125,0.8245614035087719,14.977359804946012,1.0,1.0,SP-2017,0.1129926399882063,"subgroups, evidence, assay, fda, receptor, autoantibodies, methylation, clinically"
"Priority Therapeutic Domain 4: Gastrointestinal Biology, Microbiome Fu",101-110,3019,18.84880027681825,17.970238095238095,0.7450980392156863,12.586949320967207,1.0,1.0,SP-2012,0.11765734318847744,"gastrointestinal, pain, nutrition, microbiome, subgroups, enzyme, diet, indicated"
"Priority Therapeutic Domain 5: Neurodevelopmental Regression, Function",111-119,2570,18.04588311589227,16.797385620915033,0.8301886792452831,15.17509727626459,1.0,1.0,SP-2017,0.11031555102165161,"regression, follow-up, evaluation, indicated, loss, pathways, metabolic, domain"
"Priority Therapeutic Domain 6: Mitochondrial, Redox, Metabolic Functio",120-130,3129,20.62723878952183,17.982758620689655,0.6363636363636364,13.422818791946309,1.0,1.0,SP-2012,0.13001309708672357,"metabolic, mitochondrial, endocrine, illness, emergency, disease, subgroups, stress"
Priority Therapeutic Domain 7: Autonomic Dysfunction,131-138,2436,19.126854278028166,17.27659574468085,0.6714285714285714,18.472906403940886,1.0,1.0,SP-2023,0.1198952954460873,"autonomic, sleep, wearable, burden, illness, pain, physiology, medication"
Priority Therapeutic Domain 8: Sleep and Circadian Regulation,139-147,2699,17.971218187550487,16.763975155279503,0.8214285714285714,16.302334197851057,0.9090909090909091,1.0,SP-2023,0.11159792186146662,"sleep, melatonin, timing, contributors, circadian, clinically, ahrq, pain"
Priority Therapeutic Domain 9: Epilepsy and Network Excitability,148-155,2627,18.641198243332664,17.630872483221477,0.7619047619047619,17.891130567186906,1.0,1.0,SP-2023,0.11499912270460474,"eeg, seizures, sleep, epilepsy, regression, events, presentations, follow-up"
"Priority Therapeutic Domain 10: Motor Planning, Praxis, Sensorimotor I",156-167,3596,19.26209774893066,18.536082474226806,0.5254237288135594,8.620689655172413,1.0,1.0,SP-2023,0.13943867204154134,"motor, speech, sensory, functional, adaptive, assessment, access, ahrq"
"Priority Therapeutic Domain 11: Adaptive Trial Design, Treatment Endpo",168-176,2724,15.972245455109515,19.183098591549296,0.6428571428571429,9.911894273127754,0.0,1.0,SP-2017,0.11762342960910875,"fda, trials, drug, candidate, design, ahrq, signals, approved"
"Part V — Federal Navigation, Diagnostic Access, and Life Course Suppor",177-182,2071,15.248838725253503,18.166666666666668,0.5625,2.897151134717528,1.0,1.0,RTC-2017,0.14662743228522254,"domain, federal, navigation, accountability, indicators, users, portal, course"
"Life Course Domain I: Timely, Equitable, and Technology-Enabled Diagno",183-192,3008,18.970344620916993,21.183098591549296,0.746031746031746,14.960106382978724,0.3333333333333333,0.9993708713431897,RTC-2017,0.13682873645577062,"evaluation, implementation, diagnostic, hrsa, cms, ahrq, consultation, referral"
"Life Course Domain II: Special Education, IDEA Implementation",193-198,1831,19.26600147781669,21.541176470588237,0.7307692307692307,9.830693610049154,1.0,0.999482669425763,RTC-2017,0.1425919085905264,"idea, education, students, accountability, workforce, special, performance, enforcement"
Life Course Domain III: Improving Communication and Access for Nonspea,199-209,3529,20.274165883377453,21.51829268292683,0.5633802816901409,11.051289317086994,0.8181818181818182,1.0,SP-2023,0.15130712120172127,"communication, motor, partners, individualized, aac, assessment, methods, access"
"Life Course Domain IV: Co-Occurring Mental Health Conditions, Crisis C",210-216,1780,17.242344849312193,16.635514018691588,0.84375,14.606741573033709,1.0,1.0,RTC-2017,0.13274681783745804,"cms, ahrq, hrsa, crisis, mental, samhsa, follow-up, agenda"
"Life Course Domain V: Housing Supply, Supported Living, and Caregiver ",217-223,2350,16.943812028815547,18.503937007874015,0.8285714285714286,11.48936170212766,0.8,0.9991935483870967,RTC-2022,0.1533099629400761,"housing, residential, acl, cms, hud, capacity, hhs, supply"
"Life Course Domain VI: Caregiver Stabilization, Respite, Navigation, a",224-230,1786,15.450774301918145,14.403225806451612,0.7948717948717948,16.237402015677493,1.0,1.0,RTC-2022,0.14011351664204794,"navigation, caregiver, respite, acl, cms, emergency, hrsa, families"
"Life Course Domain VII: Employment, Workforce Participation, and Workp",231-237,1700,15.953770177838582,13.178294573643411,0.7222222222222222,15.294117647058824,1.0,1.0,RTC-2017,0.1378113168727114,"employment, accommodations, job, retention, acl, federal, advancement, cms"
"Life Course Domain VIII: Older Autistic Adults, Aging, and Later-Life ",238-244,2097,16.33468021432943,16.511811023622048,0.7105263157894737,12.39866475917978,0.96,1.0,SP-2023,0.1263142860383965,"aging, cms, acl, hrsa, older, agencies, medicare, pain"
"Life Course Domain IX: Transportation, Mobility, and Access",245-259,5773,17.585720411060873,24.15481171548117,0.5567010309278351,7.96812749003984,1.0,0.9996640913671482,RTC-2017,0.16789783554735924,"agencies, action, recommendations, reporting, framework, accountability, transportation, authority"
Appendix A,260-260,416,13.994596153846157,20.8,0.0,0.0,,1.0,PUBA-2012,0.07933963568344302,"projects, portfolio, nih, title, records, analyzed, appeared, classification"
Analysis of the FY2025 NIH Autism Research Portfolio (RCDC),260-265,1883,15.327625531813329,21.15730337078652,0.2857142857142857,1.0621348911311737,1.0,1.0,PUBA-2012,0.12099535850889961,"projects, classification, primary, translational, portfolio, category, title, framework"
Analysis of the FY2025 NIH Autism Research Portfolio (RCDC),266-269,918,12.087128310973512,9.663157894736843,0.3333333333333333,1.0893246187363834,,1.0,PUBA-2012,0.10185458522246947,"classification, portfolio, category, patterns, text, non-genetic, projects, records"
Appendix C,270-271,383,30.614499564838997,42.55555555555556,1.0,5.221932114882507,,1.0,SP-2023,0.07683697237464868,"referral, date, unexplained, performance, pain, consultation, documentation, diagnostic"
